RegMark,PassTime,Speed,Acc,C_CO,C_CO2,C_HC,C_NO,EFCO,EFHC,EFNO,RYCX,longitude ,latitude,city name,OutdoorTemp,Humidity,WindSpeed,WindDirection,,Engine Family,Engine Code,Manufacturer Name,Engine Model,Part Name,Part Description,Part Number,,automaker,trim,mode year,sensor
BL2V57,1/27/2019 13:28,43.05428,0.6246,3.00069,12.90273,3.21371,123.7397,377.3193186,0.127003717,2.778704955,轻型柴油车,,,,2.1,55.2,7,252,,GSZXH05.23FA,523FA-1,Isuzu Motors Limited,4HK1TC,Engine Control Module Software Calibration,Engine Control Module Software Calibration,898331886X,,ford,sedan,2018,yes
SAE655,2/28/2019 13:22,0,0,0.16104,14.93832,18.87846,306.59949,21.3162595,0.785307232,7.300181198,轻型柴油车,,,,9.3,50.7,2.1,259,,GSZXH05.23FA,523FA-1,Isuzu Motors Limited,4HK1TC,Charge Air Cooler,Charge Air Cooler,898214650X,,honda,pickup,2002,no
BV9270,1/13/2019 12:14,52.61533,1.31724,0.64558,14.59098,1499.79297,2008.271,80.0223526,58.42177863,41.25166585,轻型柴油车,,,,-0.9,100,2.7,341,,GHMXH05.1JTP,TPD1,"Hino Motors, Ltd",J05E-TP,Other,"CONVERTER ASSY, W/CATALYST",17400-E0600,,Toyota ,,,
B59S03,3/25/2019 16:36,56.64696,1.51086,2.03016,13.59845,20.80442,146.2921,259.5956988,0.83607117,3.355835418,轻型柴油车,,,,19.6,12.2,6.7,355,,GHMXH05.1JTP,TPD1,"Hino Motors, Ltd",J05E-TP,Other,"VALVE ASSY, FUEL ADDITION CUT",S2210-E0034,,,,,
B080KA,3/16/2019 6:57,35.22,0,0.89189,14.41441,343.97079,73,114.9901041,13.93762561,11.79066813,轻型柴油车,,,,,,,,,GHMXH05.1JTP,UGH1,"Hino Motors, Ltd",J05E-UG,Engine Control Module,#Engine Control Module,89663-E3R50,,,,,
BQH235,1/17/2019 9:04,45.54631,1.37402,1.34997,14.08604,11.9963,1176.71997,174.8352584,0.488273874,25.30004317,轻型柴油车,,,,-2.4,44.9,2.8,354,,GHMXH05.1JTP,UGH1,"Hino Motors, Ltd",J05E-UG,Fuel Injector,#Fuel Injector,23670-E0540,,,,,
B9M6E8,12/23/2018 18:53,28.40473,0.45169,0.55732,14.65425,267.86389,857.64728,72.50799294,10.95295368,18.20811865,轻型柴油车,,,,-3.3,32.7,2.1,9,,GCEXH0912XAV,4761;FR11499,Cummins Inc.,ISX15,EGR Cooler,,3689565,,,,,
BUV961,11/18/2018 11:23,57.61769,-0.17231,1.15625,14.22491,17.53012,3792.69897,150.2511878,0.715898859,77.27693511,轻型柴油车,,,,9.5,73.5,1.9,319,,GCEXH0912XAV,4761;FR11499,Cummins Inc.,ISX15,Other,Engine Out NOx Sensor 1,2872944,,,,,
B396PP,12/1/2018 12:05,63.531,-0.03107,0.39031,14.77397,638.12433,8000,50.20569614,25.79946293,376.2033222,轻型柴油车,,,,10.5,59,3.2,142,,,,,,,,,,,,,
BV9270,2/18/2019 18:20,61.1,0.3,0.038,15.02652,242.2083,421.22672,4.999611203,10.00961697,9.82277405,轻型柴油车,,,,0.8,61.9,1,202,,,,,,,,,,,,,
BL2V57,11/5/2018 16:15,41.46788,1.22581,0.93861,14.38093,62.11583,1363.58704,122.2404119,2.542470201,19.02720368,轻型柴油车,,,,7.9,70,0.9,240,,,,,,,,,,,,,
